序號,代碼,校區,供水區,水號,水號格式1,裝置日期,供水區說明,識別碼,水號,繳費年月,水費年,水費月,用水度數,應繳金額,與去年比較增減度數
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),934,51180002015,105/03,105,03,16474.0,271141.0,-1751.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),944,51180002015,105/04,105,04,13250.0,218429.0,-7209.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),954,51180002015,105/05,105,05,14103.0,232376.0,-6000.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),964,51180002015,105/06,105,06,17206.0,283109.0,-2086.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),974,51180002015,105/07,105,07,19947.0,327925.0,225.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),984,51180002015,105/08,105,08,18414.0,302861.0,-2770.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),994,51180002015,105/09,105,09,19541.0,321288.0,-2581.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),1004,51180002015,105/10,105,10,17449.0,287083.0,-1507.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),1014,51180002015,105/11,105,11,17869.0,293949.0,-2476.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),1024,51180002015,105/12,105,12,18229.0,299835.0,-2403.0
